homeTeamID,awayTeamID,MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
13.0,3.0,769,12/08/2007,Chelsea,Birmingham,3.0,2.0,H,2.0,2.0,D,S Bennett,19.0,6.0,11.0,4.0,8.0,8.0,5.0,3.0,2.0,1.0,0.0,0.0,1.2,6.0,13.0
3.0,37.0,772,15/08/2007,Birmingham,Sunderland,2.0,2.0,D,1.0,0.0,H,K Stroud,7.0,7.0,3.0,3.0,17.0,10.0,2.0,7.0,1.0,1.0,0.0,0.0,2.3,3.25,3.0
3.0,42.0,778,18/08/2007,Birmingham,West Ham,0.0,1.0,A,0.0,0.0,D,M Halsey,6.0,13.0,3.0,5.0,16.0,15.0,9.0,5.0,4.0,2.0,0.0,0.0,2.37,3.25,2.87
15.0,3.0,792,25/08/2007,Derby,Birmingham,1.0,2.0,A,0.0,1.0,A,L Probert,16.0,11.0,8.0,6.0,8.0,13.0,4.0,4.0,0.0,1.0,0.0,0.0,2.37,3.25,2.87
27.0,3.0,802,01/09/2007,Middlesbrough,Birmingham,2.0,0.0,H,2.0,0.0,H,R Styles,13.0,9.0,7.0,4.0,8.0,12.0,11.0,5.0,1.0,3.0,0.0,0.0,2.0,3.2,3.75
3.0,6.0,808,15/09/2007,Birmingham,Bolton,1.0,0.0,H,1.0,0.0,H,P Dowd,10.0,8.0,5.0,3.0,16.0,15.0,6.0,5.0,1.0,3.0,0.0,0.0,2.37,3.25,3.0
23.0,3.0,820,22/09/2007,Liverpool,Birmingham,0.0,0.0,D,0.0,0.0,D,L Mason,18.0,5.0,4.0,2.0,3.0,10.0,11.0,2.0,0.0,2.0,0.0,0.0,1.22,5.25,17.0
3.0,26.0,828,29/09/2007,Birmingham,Man United,0.0,1.0,A,0.0,0.0,D,S Bennett,17.0,11.0,9.0,4.0,14.0,11.0,4.0,4.0,3.0,1.0,0.0,0.0,6.5,4.0,1.53
4.0,3.0,841,07/10/2007,Blackburn,Birmingham,2.0,1.0,H,1.0,0.0,H,M Clattenburg,17.0,6.0,5.0,5.0,15.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,1.66,3.75,5.5
25.0,3.0,853,20/10/2007,Man City,Birmingham,1.0,0.0,H,1.0,0.0,H,M Dean,12.0,13.0,4.0,8.0,17.0,12.0,6.0,7.0,3.0,2.0,0.0,0.0,1.57,3.6,7.0
3.0,43.0,858,27/10/2007,Birmingham,Wigan,3.0,2.0,H,1.0,1.0,D,S Tanner,16.0,8.0,10.0,5.0,11.0,12.0,6.0,5.0,0.0,1.0,0.0,0.0,2.1,3.3,3.6
16.0,3.0,871,03/11/2007,Everton,Birmingham,3.0,1.0,H,1.0,0.0,H,M Riley,16.0,7.0,9.0,6.0,14.0,22.0,6.0,5.0,0.0,1.0,0.0,0.0,1.66,3.5,5.75
3.0,2.0,881,11/11/2007,Birmingham,Aston Villa,1.0,2.0,A,0.0,1.0,A,S Bennett,13.0,13.0,8.0,6.0,17.0,8.0,8.0,5.0,3.0,2.0,0.0,0.0,2.7,3.2,2.7
3.0,31.0,889,24/11/2007,Birmingham,Portsmouth,0.0,2.0,A,0.0,1.0,A,M Atkinson,4.0,15.0,3.0,8.0,17.0,21.0,4.0,3.0,3.0,2.0,0.0,0.0,3.2,3.3,2.3
39.0,3.0,907,02/12/2007,Tottenham,Birmingham,2.0,3.0,A,0.0,1.0,A,P Dowd,17.0,7.0,9.0,3.0,10.0,13.0,12.0,3.0,0.0,1.0,1.0,0.0,1.44,4.2,8.0
28.0,3.0,914,08/12/2007,Newcastle,Birmingham,2.0,1.0,H,1.0,1.0,D,R Styles,17.0,7.0,9.0,4.0,10.0,8.0,6.0,5.0,1.0,2.0,0.0,0.0,1.8,3.5,4.75
3.0,33.0,920,15/12/2007,Birmingham,Reading,1.0,1.0,D,1.0,0.0,H,L Probert,15.0,10.0,9.0,6.0,12.0,19.0,6.0,6.0,2.0,1.0,0.0,0.0,2.2,3.25,3.4
6.0,3.0,932,22/12/2007,Bolton,Birmingham,3.0,0.0,H,0.0,0.0,D,C Foy,10.0,4.0,6.0,1.0,14.0,18.0,7.0,2.0,3.0,2.0,0.0,0.0,1.9,3.3,4.33
3.0,27.0,940,26/12/2007,Birmingham,Middlesbrough,3.0,0.0,H,2.0,0.0,H,M Halsey,13.0,18.0,5.0,12.0,13.0,6.0,12.0,9.0,1.0,2.0,0.0,0.0,2.25,3.3,3.25
3.0,17.0,950,29/12/2007,Birmingham,Fulham,1.0,1.0,D,0.0,1.0,A,M Clattenburg,15.0,10.0,6.0,7.0,13.0,14.0,8.0,6.0,0.0,3.0,0.0,1.0,1.9,3.4,4.2
26.0,3.0,963,01/01/2008,Man United,Birmingham,1.0,0.0,H,1.0,0.0,H,P Walton,18.0,11.0,13.0,4.0,11.0,8.0,2.0,0.0,1.0,4.0,0.0,0.0,1.16,7.0,19.0
1.0,3.0,970,12/01/2008,Arsenal,Birmingham,1.0,1.0,D,1.0,0.0,H,P Dowd,16.0,2.0,9.0,2.0,8.0,10.0,14.0,3.0,1.0,2.0,0.0,0.0,1.2,6.0,17.0
3.0,13.0,980,19/01/2008,Birmingham,Chelsea,0.0,1.0,A,0.0,0.0,D,R Styles,15.0,12.0,7.0,9.0,9.0,5.0,6.0,10.0,1.0,1.0,0.0,0.0,5.5,3.6,1.66
37.0,3.0,994,29/01/2008,Sunderland,Birmingham,2.0,0.0,H,1.0,0.0,H,M Halsey,9.0,5.0,6.0,2.0,9.0,18.0,4.0,8.0,1.0,3.0,0.0,0.0,2.3,3.25,3.2
3.0,15.0,1000,02/02/2008,Birmingham,Derby,1.0,1.0,D,0.0,0.0,D,P Walton,11.0,6.0,7.0,3.0,7.0,11.0,5.0,5.0,1.0,5.0,0.0,0.0,1.61,3.5,6.5
42.0,3.0,1016,09/02/2008,West Ham,Birmingham,1.0,1.0,D,1.0,1.0,D,M Clattenburg,18.0,5.0,10.0,3.0,12.0,20.0,7.0,4.0,0.0,5.0,1.0,0.0,1.8,3.6,4.5
3.0,1.0,1020,23/02/2008,Birmingham,Arsenal,2.0,2.0,D,1.0,0.0,H,M Dean,2.0,26.0,1.0,13.0,9.0,13.0,1.0,7.0,0.0,2.0,1.0,0.0,7.0,4.0,1.5
3.0,39.0,1030,01/03/2008,Birmingham,Tottenham,4.0,1.0,H,1.0,0.0,H,L Probert,13.0,19.0,10.0,10.0,14.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,3.75,3.5,2.0
31.0,3.0,1048,12/03/2008,Portsmouth,Birmingham,4.0,2.0,H,2.0,2.0,D,S Tanner,13.0,7.0,9.0,5.0,8.0,10.0,4.0,3.0,0.0,1.0,0.0,0.0,1.83,3.5,4.5
3.0,28.0,1058,17/03/2008,Birmingham,Newcastle,1.0,1.0,D,1.0,0.0,H,H Webb,12.0,13.0,4.0,7.0,8.0,12.0,3.0,8.0,2.0,2.0,0.0,0.0,2.2,3.25,3.4
